asset,regime_type,rate_direction_regime,n,mean,sd,annualized_mean,annualized_sd,inflation_regime
SP500 (log return),rate_direction_regime,Falling,31,0.013972542371689553,0.05091511341418564,0.16767050846027465,0.17637512661300242,NA
SP500 (log return),rate_direction_regime,Rising,58,0.007672773396447121,0.04562159355627496,0.09207328075736546,0.15803783592345025,NA
SP500 (log return),rate_direction_regime,Stable,28,0.010976238039356814,0.033107879146660024,0.13171485647228176,0.11468905762573056,NA
SP500 (log return),inflation_regime,NA,34,0.0020476181453383956,0.050019187883523365,0.02457141774406075,0.17327154953519208,High
SP500 (log return),inflation_regime,NA,28,0.018616675067638755,0.050282415984499965,0.22340010081166506,0.17418339842493477,Low
SP500 (log return),inflation_regime,NA,55,0.010811243941507443,0.03644847863577955,0.12973492729808933,0.12626123371151787,Moderate
3M T-Bill (simple approx),rate_direction_regime,Falling,91,0.001395970695970696,0.0011892135866560254,0.016751648351648354,0.004119556706278899,NA
3M T-Bill (simple approx),rate_direction_regime,Rising,92,0.002578894927536232,0.0013376358301088833,0.030946739130434782,0.004633706439546314,NA
3M T-Bill (simple approx),rate_direction_regime,Stable,108,3.5493827160493826e-4,9.671969467738706e-4,0.0042592592592592595,0.0033504685054756697,NA
